név;osztály;csoport;nem;hajszíne;heti zsebpénz;kedvenc tárgy;bukások száma;átlag;testvérek száma;szülhely;szüldátum;szülidő;lakcím;anyja szül. dátuma;apja szül. dátuma;állat1;állat2
Zuggó Zoltán;12.C;szoftverfejlesztő;f;szőke;4500;német;3;1;1;Zalaegerszeg;2005.02.26;19:48:55;8991 Hottó, Szabadság tér 7.;1977.08.16;1952.01.22;;
Agg András;12.D;pénzügy;f;barna;9500;fizika;2;1;3;Zalaegerszeg;2004.03.06;20:44:35;8913 Egervár, Ady E. utca 2.;1986.12.13;1982.03.06;teknős;
Bruszik Péter;12.D;szoftverfejlesztő;f;vörös;4000;fizika;1;1;1;Zalaegerszeg;2004.01.06;0:44:50;8925 Kisbucsa, Kossuth L. utca 40. ;1972.12.31;1969.08.15;;
Bukta Alex;12.D;szoftverfejlesztő;f;vörös;6500;földrajz;2;1;1;Keszthely;2005.04.21;20:48:57;8900 Zalaegerszeg, Felsőerdő út 32.;1983.03.27;1970.01.27;kacsa;kutya
Frühwirth Kristóf;12.D;számvitel-gazdálkodás;f;barna;4500;rajz;1;1;1;Zalaegerszeg;2004.01.15;8:45:55;8946 Baktüttős, Rákóczi u. 118.;1982.05.04;1962.04.24;;
Gerencsér Zsolt;12.D;rendszergazda;f;vörös;5000;ének;0;2,53;3;Zalaegerszeg;2003.12.17;18:14:04;8981 Gellénháza, Táncsics u. 12/A;1962.05.20;1967.03.14;hal;hörcsög
Gergye László Ádám;12.D;szoftverfejlesztő;f;szőke;9500;fizika;3;1;1;Miskolc;2005.04.22;4:27:07;8790 Zalaszentgrót-Tekenye, Köztársaság utca 9. ;1975.09.23;1971.06.01;teknős;teknős
Hertelendi Bernadett;12.D;szoftverfejlesztő;l;barna;7000;biológia;0;2,57;2;Zalaegerszeg;2004.11.03;18:38:31;8912 Kispáli, József A.u. 28/A.;1967.11.11;1954.05.16;kígyó;kacsa
Hizsnyai Gábor;12.D;számvitel-gazdálkodás;f;barna;10000;ének;0;2,24;0;Tapolca;2003.10.11;22:28:59;8914 Nagypáli, Honfoglalás út 15.;1975.09.14;1967.06.04;kacsa;teknős
Horváth Péter;12.D;számvitel-gazdálkodás;f;kopasz;6000;biológia;0;4,87;0;Zalaegerszeg;2003.09.30;5:21:41;8900 Zalaegerszeg, Berzsenyi D. u. 26. ;1959.03.19;1960.06.05;;
Iván Ágota;12.D;szoftverfejlesztő;l;szőke;6500;történelem;2;1;0;Keszthely;2005.02.09;9:17:31;8900 Zalaegerszeg, Felsőerdő u. 32.;1987.11.27;1967.12.29;ló;hal
Kámán Norman;12.D;pénzügy;f;kék;3000;angol;0;4,59;3;Zalaegerszeg;2004.05.08;5:56:35;9915 Hegyhátsál, Temető u. 28.;1961.12.11;1954.10.02;patkány;kutya
Kerkai Vanessa;12.D;pénzügy;l;kopasz;8000;informatika;1;1;1;Zalaegerszeg;2004.03.23;20:54:23;8992 Boncodfölde, Dózsa Gy.u. 16.;1983.06.27;1983.07.28;vadászgörény;
Király Benita Roberta;12.D;szoftverfejlesztő;l;fekete;4000;történelem;0;3,67;2;Zalaegerszeg;2004.07.11;5:59:05;8957 Zebecke, Petőfi út 17.;1984.06.11;1968.03.07;;
Király Vivien;12.D;pénzügy;l;fekete;6500;történelem;0;2,49;1;Zalaegerszeg;2005.08.15;23:42:39;8900 Zalaegerszeg, Balatoni út 23.;1983.04.03;1957.11.17;tyúk;macska
Lambert Anna;12.D;számvitel-gazdálkodás;l;fekete;9500;fizika;0;2,13;3;Zalaegerszeg;2005.05.31;2:32:43;8900 Zalaegerszeg, Göcsej P. F. u. 31;1974.04.23;1958.01.23;kutya;hal
Laposa Laura;12.D;számvitel-gazdálkodás;l;barna;3500;matematika;0;3,81;1;Zalaegerszeg;2004.11.16;23:28:41;8900 Zalaegerszeg, Göcseji út 51. 10/82;1983.08.17;1963.01.23;macska;tyúk
Lengyeltóti Szilvia;12.D;szoftverfejlesztő;l;fekete;4500;földrajz;0;3,52;1;Zalaegerszeg;2005.06.26;18:52:34;8900 Zalaegerszeg, Ciklámen u. 2.;1966.01.17;1985.02.17;;
Major Jenő;12.D;rendszergazda;f;kopasz;3000;biológia;2;1;2;Zalaegerszeg;2005.03.09;15:21:11;8762 Szentpéterúr, Petőfi u. 27.;1970.06.13;1959.04.14;tyúk;kacsa
Márfi Balázs;12.D;pénzügy;f;barna;3500;ének;0;2,34;1;Zalaegerszeg;2003.12.31;1:51:55;8900 Zalaegerszeg, Erzsébethegyi út 5/C;1970.07.07;1969.08.13;vadászgörény;kígyó
Molnár Richárd;12.D;pénzügy;f;barna;7000;történelem;1;1;0;Zalaegerszeg;2004.01.23;5:17:55;8900 Zalaegerszeg, Dózsa György út 29.;1980.11.08;1976.07.02;kacsa;patkány
Nagy Ákos;12.D;számvitel-gazdálkodás;f;vörös;9000;matematika;0;3,94;0;Zalaegerszeg;2003.11.03;14:00:07;8900 Zalaegerszeg, Batthyány L. u. 10/B  ;1963.12.15;1966.10.16;ló;ló
Papp Viviána;12.D;rendszergazda;l;szőke;8500;történelem;3;1;1;Zalaegerszeg;2005.05.06;11:36:20;8900 Zalaegerszeg, Kinizsi u. 78/C;1962.07.30;1956.02.04;hörcsög;
Rózsa Bernadett;12.D;számvitel-gazdálkodás;l;barna;5500;földrajz;1;1;2;Nagykanizsa;2004.01.27;15:34:49;8900 Zalaegerszeg, Széchenyi tér 7/A.;1979.01.18;1953.02.12;patkány;hal
Sifter Dániel;12.D;számvitel-gazdálkodás;f;kopasz;4500;informatika;0;4,62;0;Keszthely;2004.03.20;11:28:01;8900 Zalaegerszeg, Hegyi út 9/a;1974.06.29;1982.08.07;vadászgörény;
Sipos Dániel;12.D;pénzügy;f;szőke;7000;rajz;0;2,08;1;Zalaegerszeg;2005.01.06;0:45:04;8962 Szentpéterúr, Kossuth u. 80.;1965.09.25;1961.01.07;hal;patkány
Sipos Szintia;12.D;pénzügy;l;barna;9000;magyar;0;2,81;0;Zalaegerszeg;2004.12.02;14:06:45;8992 Bagod, Szent Erzsébet utca 21.;1965.11.09;1958.10.05;tyúk;macska
Szabó Bence Bendegúz ;12.D;rendszergazda;f;barna;8000;magyar;0;2,28;1;Zalaegerszeg;2004.12.31;13:36:11;8900 Zalaegerszeg, Válicka u. 25.;1966.01.01;1984.11.04;kacsa;ló
Szabó Olivér;12.D;szoftverfejlesztő;f;kopasz;7000;angol;3;1;3;Zalaegerszeg;2004.04.19;9:17:59;8900 Zalaegerszeg, Madách u. 20.;1982.05.11;1959.08.06;vadászgörény;
Szalai Eszter;12.D;rendszergazda;l;szőke;5000;fizika;0;4,8;2;Zalaegerszeg;2003.12.02;16:08:57;8900 Zalaegerszeg, Gábor Áron út 21.;1984.05.09;1962.11.08;kutya;kutya
Széll Panna;12.D;pénzügy;l;fekete;10000;földrajz;0;4,29;1;Zalaegerszeg;2003.12.19;20:49:25;8790 Zalaszentgrót, Nefelejcs út 5.;1962.06.19;1979.08.24;vadászgörény;kígyó
Tóth Papp Adrienn;12.D;rendszergazda;l;vörös;7000;német;0;3,1;3;Szombathely;2003.12.16;17:47:23;8991 Teskánd, Május 1 út 1. ;1964.09.03;1966.11.02;patkány;kígyó
Varga Dóra;12.D;pénzügy;l;vörös;6500;ének;3;1;1;Zalaegerszeg;2005.04.05;14:35:26;8946 Tófej, Ifjúság u. 16.;1966.08.06;1951.12.12;teknős;macska
Vugrinecz Viola;12.D;pénzügy;l;kopasz;7500;angol;0;4,16;1;Zalaegerszeg;2004.03.30;15:45:32;8931 Kemendollár, Ady u. 11.;1976.04.17;1953.05.20;macska;
Zsoldos Kitti Anita;12.D;szoftverfejlesztő;l;kopasz;6000;történelem;0;3,08;1;Zalaegerszeg;2004.06.29;12:29:14;8925 Búcsúszentlászló, József A.u. 13.;1974.10.25;1982.03.26;vadászgörény;
Balogh Fruzsina;13.A;pénzügy;l;szőke;7500;rajz;1;1;1;Zalaegerszeg;2003.08.09;1:33:25;8985 Becsvölgye, Rózsa u. 1/A;1985.12.15;1948.08.30;ló;teknős
Borbély Dorothy;13.A;számvitel-gazdálkodás;l;lila;4000;német;0;2,68;2;Zalaegerszeg;2002.09.28;12:07:39;8900 Zalaegerszeg, Zala út 2/A 2/2.;1964.07.05;1966.02.05;;
Cziráki Dorina Júlia ;13.A;pénzügy;l;kopasz;4000;rajz;0;2,02;2;Zalaegerszeg;2003.02.18;22:41:46;8932 Pókaszepetk, Nyírfa utca 1. ;1970.11.17;1949.11.02;ló;kutya
Cseh Vivien;13.A;számvitel-gazdálkodás;l;kopasz;7000;angol;0;3,64;1;Zalaegerszeg;2003.01.22;17:21:17;8944 Sárhida, Pacsirta út 1.;1972.07.20;1961.04.07;kutya;kígyó
Farkas Hajnalka;13.A;számvitel-gazdálkodás;l;fekete;5500;német;3;1;1;Körmend;2004.01.29;19:43:37;8796 Türje, Cseresznyeszer utca 11;1961.09.18;1960.08.05;;
Farkas Szilveszter;13.A;számvitel-gazdálkodás;l;kék;3000;földrajz;0;3;2;Zalaegerszeg;2003.01.23;6:05:59;8912 Kispáli, Kossuth u. 50.;1967.08.06;1958.01.17;kígyó;macska
Gerencsér Zsófia;13.A;pénzügy;l;kopasz;6000;történelem;0;2,43;1;Zalaegerszeg;2002.11.13;6:52:05;8925 Búcsúszentlászló, Petőfi utca 13.;1964.02.29;1978.02.23;hörcsög;macska
György Viktória Alexandra ;13.A;számvitel-gazdálkodás;l;barna;9500;földrajz;2;1;2;Zalaegerszeg;2003.05.08;20:43:13;8900 Zalaegerszeg, Olajmunkás u. 37.;1962.01.30;1976.09.02;kígyó;kutya
Hábencius Dóra;13.A;pénzügy;l;szőke;4000;magyar;0;3,9;2;Kecskemét;2004.06.18;4:13:36;8900 Zalaegerszeg, Ola u. 18/C. 4/7.;1987.07.11;1960.02.24;macska;hal
Hegyi Milán;13.A;pénzügy;f;kék;4500;német;0;5;1;Zalaegerszeg;2004.04.16;12:22:55;8943 Bocfölde, Kosztolányi u. 4.;1975.02.20;1949.10.13;hörcsög;hörcsög
Horváth Szelina Aletta;13.A;pénzügy;l;fekete;9500;történelem;2;1;0;Veszprém;2003.04.27;18:22:27;8900 Zalaegerszeg, Kossuth u. 52/B.;1968.12.31;1950.09.27;kutya;
Kalamár Ramóna;13.A;számvitel-gazdálkodás;f;kék;4000;magyar;0;2,05;1;Zalaegerszeg;2003.03.28;7:38:50;8797 Batyk, Kossuth u. 1.;1973.09.04;1969.05.09;vadászgörény;tyúk
Kóbor Tamás;13.A;pénzügy;f;fekete;8500;informatika;0;3,15;1;Zalaegerszeg;2003.11.29;16:00:16;8947 Zalatárnok, Ady u. 1.;1975.02.21;1951.08.12;macska;kutya
Komáromy Márk;13.A;számvitel-gazdálkodás;f;fekete;3000;magyar;0;3,75;3;Zalaegerszeg;2003.07.02;20:49:06;8981 Lickóvadomos, Fő utca 2/a;1977.10.29;1976.08.04;patkány;hal
Kovács Barnabás;13.A;számvitel-gazdálkodás;f;vörös;6500;történelem;0;2,27;0;Zalaegerszeg;2004.06.20;21:01:26;8981 Gellénháza, Kossuth L. u. 38.;1982.10.03;1955.07.20;patkány;
Kumin Bence;13.A;számvitel-gazdálkodás;f;vörös;4000;ének;4;1;1;Zalaegerszeg;2003.11.17;9:48:53;8900 Zalaegerszeg, Pázmány P. u. 8.;1978.10.27;1959.04.27;hal;
Major Klaudia;13.A;pénzügy;l;kék;9500;matematika;0;3,38;1;Zalaegerszeg;2002.12.07;8:04:27;8762 Szentpéterúr, Kossuth Lajos utca 90.;1978.10.02;1960.05.25;kígyó;tyúk
Mazzag Orsolya;13.A;számvitel-gazdálkodás;l;fekete;10000;angol;0;3,45;1;Zalaegerszeg;2003.02.19;0:06:10;8960 Lenti, Petőfi utca 22.;1967.10.09;1973.12.12;ló;macska
Mészáros Péter;13.A;számvitel-gazdálkodás;f;fekete;7500;német;2;1;2;Zalaegerszeg;2003.12.07;13:10:19;8932 Pókaszepetk, Petőfi S. u. 26.;1984.08.12;1951.04.16;macska;kígyó
Molnár Renáta;13.A;pénzügy;l;vörös;4500;ének;0;2,05;2;Nagykanizsa;2002.10.22;3:25:11;8900 Zalaegerszeg, Pózva u. 108;1976.06.07;1962.06.18;kutya;macska
Nagy Enikő Judit;13.A;számvitel-gazdálkodás;l;fekete;3000;matematika;0;3,62;3;Zalaegerszeg;2003.07.25;9:40:14;8373 Rezi, Hársfa sor 9. ;1985.07.10;1983.03.15;hal;ló
Novák Bence;13.A;számvitel-gazdálkodás;f;szőke;9500;matematika;0;4,06;1;Zalaegerszeg;2002.11.24;10:34:10;8900 Zalaegerszeg, Irinyi J. u. 13.;1979.05.31;1972.04.30;patkány;teknős
Rozs Viktória;13.A;számvitel-gazdálkodás;l;barna;8000;történelem;0;2,44;0;Zalaegerszeg;2004.08.09;1:26:37;8900 Zalaegerszeg, Kinizsi P. u. 78/G/ 3/8;1976.04.13;1965.09.18;;
Simon Bettina Ágnes;13.A;számvitel-gazdálkodás;l;kopasz;6500;német;0;2,72;1;Zalaegerszeg;2003.04.25;13:19:21;8900 Zalaegerszeg, Vasút út 34/A. ;1982.01.13;1982.08.14;hal;patkány
Szalai Barbara;13.A;számvitel-gazdálkodás;l;barna;4000;angol;0;4,66;1;Zalaegerszeg;2004.03.15;7:13:07;8900 Zalaegerszeg, Platán sor 25. ;1986.03.06;1976.03.23;patkány;
Szenyita Diána;13.A;számvitel-gazdálkodás;l;szőke;9500;angol;0;4,48;0;Zalaegerszeg;2003.03.19;14:17:57;8900 Zalaegerszeg, Holub út 12. fsz. 3.;1958.04.01;1961.03.21;hal;kacsa
Szujker Viktória;13.A;számvitel-gazdálkodás;l;vörös;7500;történelem;0;4,83;1;Zalaegerszeg;2003.06.06;22:34:43;8936 Zalaszentmihály, Kossuth Lajos utca 35.;1965.06.25;1950.02.09;teknős;kutya
Takács Kristóf;13.A;számvitel-gazdálkodás;f;barna;5000;rajz;0;4,28;3;Zalaegerszeg;2003.04.25;2:28:52;8900 Zalaegerszeg, Köztársaság út 9. ;1978.04.22;1978.12.22;tyúk;vadászgörény
Tar Cintia;13.A;pénzügy;l;kopasz;3500;ének;0;2,06;1;Zalaegerszeg;2003.12.07;14:27:27;8923 Nemesapáti, Árpád út 9.;1985.07.14;1959.05.09;tyúk;macska
Balázs Barbara;13.C;szoftverfejlesztő;l;kék;9000;magyar;0;3,64;0;Zalaegerszeg;2003.02.13;3:29:29;8782 Zalacsány, Vasút u. 36/D.;1963.08.23;1963.01.29;teknős;
Balogh Bálint;13.C;szoftverfejlesztő;f;lila;4000;fizika;0;3,35;2;Nagykanizsa;2003.04.25;7:07:26;8900 Zalaegerszeg, Nyári-hegyi u. hrsz:20773;1972.07.29;1966.12.24;kígyó;macska
Bedő Nikolett;13.C;szoftverfejlesztő;l;barna;8000;történelem;3;1;0;Zalaegerszeg;2002.10.08;12:46:12;8900 Zalaegerszeg, Baross Gábor utca 30.;1978.12.25;1979.01.22;kutya;kígyó
Császár Brigitta;13.C;rendszergazda;l;kopasz;8000;német;0;2,11;1;Zalaegerszeg;2003.05.29;21:56:06;8999 Zalalövő, Széchenyi út 72. ;1983.08.25;1971.02.27;kígyó;ló
Császár Kinga;13.C;szoftverfejlesztő;l;fekete;5000;fizika;0;3,9;1;Zalaegerszeg;2003.03.14;23:55:23;8900 Zalaegerszeg, Szövetkezet utca 5/A.;1969.07.30;1969.10.11;teknős;
Csernovicz Zsófia;13.C;szoftverfejlesztő;l;szőke;9500;fizika;2;1;1;Zalaegerszeg;2004.08.17;16:12:37;8900 Zalaegerszeg, Göcsej P.F. u. 27.;1987.12.31;1958.03.13;patkány;kutya
Dömötör Tamás;13.C;rendszergazda;f;vörös;8500;ének;0;4,04;3;Zalaegerszeg;2004.05.10;23:51:22;8900 Zalaegerszeg, Hegyi u. 10/C.;1976.08.05;1976.09.18;;
Fábián Florentina;13.C;szoftverfejlesztő;l;fekete;5500;földrajz;0;3,82;3;Zalaegerszeg;2004.02.29;16:13:36;9915 Katafa, Ifjúság u. 33.;1966.10.20;1967.10.25;;
Farkas Benjamin (2);13.C;szoftverfejlesztő;f;fekete;9500;ének;1;1;0;Zalaegerszeg;2002.12.25;22:54:44;8900 Zalaegerszeg, Hét vezér út 17.;1986.07.10;1971.12.11;kutya;patkány
Fischer Bence;13.C;szoftverfejlesztő;f;kopasz;9500;biológia;0;2,88;1;Zalaegerszeg;2003.06.27;10:29:28;8900 Zalaegerszeg, Biró M.u. 28. 3/7.;1974.05.15;1980.06.10;hörcsög;macska
Gecseg Zoltán;13.C;rendszergazda;f;barna;3000;matematika;0;3,56;0;Zalaegerszeg;2003.03.13;14:19:21;8900 Zalaegerszeg, Andráshida u. 51/A.;1980.05.25;1956.01.24;kígyó;kutya
Góczi Bendegúz;13.C;rendszergazda;f;barna;8500;ének;0;4,23;1;Zalaegerszeg;2004.03.05;10:05:40;8900 Zalaegerszeg, Pálóczi H.Á. u. 15.;1963.03.08;1977.12.07;teknős;ló
Gosztolai Petra;13.C;szoftverfejlesztő;l;fekete;3000;informatika;0;3,97;1;Zalaegerszeg;2003.12.30;16:58:15;8900 Zalaegerszeg, Kossuth u. 64/C. 1/1.;1984.02.27;1975.08.24;macska;kígyó
Györe Benita;13.C;szoftverfejlesztő;l;vörös;4000;magyar;0;2,58;1;Zalaegerszeg;2004.03.24;14:34:46;8900 Zalaegerszeg, Petőfi u. 22.  2/4;1985.09.21;1983.12.09;macska;kacsa
Hajdú Richárd;13.C;szoftverfejlesztő;f;barna;8500;rajz;1;1;2;Zalaegerszeg;2004.01.21;20:41:43;8984 Petrikeresztúr, Ady E. utca 6./b.;1963.09.01;1976.07.19;hal;hörcsög
Heé Áron Máté;13.C;szoftverfejlesztő;f;fekete;10000;történelem;0;4,23;3;Zalaegerszeg;2002.10.29;1:59:21;8782 Zalacsány, Deák körút 32.;1974.03.14;1957.12.08;macska;kígyó
Herold Barnabás József;13.C;rendszergazda;f;szőke;5000;biológia;1;1;3;Zalaegerszeg;2004.01.28;10:55:56;8900 Zalaegerszeg, Kelemen I. u. 14.;1977.08.01;1971.06.02;tyúk;hörcsög
Imre Ildikó Jennifer;13.C;rendszergazda;l;fekete;8000;fizika;0;2,8;0;Zalaegerszeg;2004.05.08;1:28:06;8900 Zalaegerszeg, Holub u. 12  1/4.;1965.09.06;1950.10.02;teknős;
Jóna Vivien;13.C;szoftverfejlesztő;l;szőke;3500;ének;0;2,62;1;Szombathely;2002.12.06;6:25:28;8992 Bagod, Vitenyédi u. 64.;1982.07.22;1951.07.15;;
Kaj Zsolt;13.C;szoftverfejlesztő;f;barna;4000;ének;0;4,81;0;Zalaegerszeg;2004.05.19;23:47:28;8900 Zalaegerszeg, Szentmártoni u. 6/A;1985.06.18;1979.06.24;kígyó;hörcsög
Kalcher Fanni;13.C;rendszergazda;l;vörös;10000;rajz;0;2,2;1;Zalaegerszeg;2004.07.18;3:12:13;8900 Zalaegerszeg, Platán sor 23/A.;1972.04.20;1982.08.02;;
Kerkai Szilárd;13.C;rendszergazda;f;szőke;7500;rajz;1;1;2;Szombathely;2003.08.25;13:42:46;8792 Zalavég, Béke út 72.;1971.10.05;1956.01.23;teknős;patkány
Kovács Alexandra;13.C;szoftverfejlesztő;l;vörös;3500;német;3;1;1;Zalaegerszeg;2003.01.27;6:27:39;8900 Zalaegerszeg, Bodza u. 17.;1969.04.09;1963.12.07;macska;kutya
Kulcsár Olívia;13.C;rendszergazda;f;kék;5000;biológia;0;3,54;1;Zalaegerszeg;2003.02.28;10:08:28;8900 Zalaegerszeg, Rózsás utca 50.;1969.11.27;1982.04.02;kacsa;
Lehotai Miksa;13.C;rendszergazda;f;szőke;7500;matematika;0;2,5;2;Zalaegerszeg;2004.06.25;12:47:29;8925 Búcsúszentlászló, Jókai u. 6.;1974.11.26;1957.08.22;teknős;teknős
Molnár Anna;13.C;szoftverfejlesztő;l;szőke;9000;történelem;3;1;2;Nagykanizsa;2003.06.16;22:29:27;8900 Zalaegerszeg, Hajnal utca 3. 3. a. ;1962.08.28;1984.03.06;vadászgörény;patkány
Molnár Bálint;13.C;rendszergazda;f;szőke;5500;rajz;0;3,72;1;Zalaegerszeg;2004.03.16;11:27:55;8900 Zalaegerszeg, Stadion u. 4. 3/18.;1981.04.08;1969.09.11;kutya;
Németh Dóra;13.C;szoftverfejlesztő;l;lila;3000;biológia;0;2,68;2;Zalaegerszeg;2003.03.31;5:52:38;8900 Zalaegerszeg, Építők útja 7.  3/12;1968.03.16;1976.06.01;teknős;kutya
Németh Laura;13.C;rendszergazda;l;vörös;7500;földrajz;0;3,3;1;Zalaegerszeg;2003.10.12;12:50:32;8790 Zalaszentgrót, Mikszáth Kálmán utca 3.;1980.01.12;1960.06.12;kutya;kacsa
Németh Péter;13.C;rendszergazda;f;vörös;8000;fizika;0;2,23;3;Zalaegerszeg;2004.01.06;21:36:25;8943 Bocfölde, Rákóczi Ferenc u. 32.;1975.02.23;1973.01.19;kutya;
Orbán Gyula;13.C;rendszergazda;f;fekete;5500;angol;2;1;0;Keszthely;2003.08.24;0:41:16;8900 Zalaegerszeg, Petőfi köz 3/b.;1978.08.20;1974.07.02;;
Rákosa Bálint;13.C;rendszergazda;f;kopasz;10000;magyar;0;2,97;4;Zalaegerszeg;2002.12.09;21:04:20;8978 Rédics, Sugár utca 3.;1975.02.11;1951.03.15;vadászgörény;
Sámson Lilla Márta;13.C;szoftverfejlesztő;l;fekete;3500;német;0;4,05;1;Zalaegerszeg;2003.08.30;17:33:23;8900 Zalaegerszeg, Landorhegyi u. 26.;1969.06.13;1953.07.07;macska;patkány
Simon Dóra;13.C;szoftverfejlesztő;l;fekete;7000;angol;0;3,07;2;Zalaegerszeg;2003.03.03;18:50:54;8912 Nagypáli, Arany J.u. 15.;1966.02.14;1958.09.25;macska;
Simon Noémi;13.C;szoftverfejlesztő;l;vörös;5500;rajz;0;3,14;2;Zalaegerszeg;2004.01.13;12:26:47;8790 Zalaszentgrót, Bethlen G. utca 14.;1967.10.27;1949.03.18;kutya;kacsa
Szakály Adrienn;13.C;rendszergazda;l;barna;10000;ének;0;4,87;2;Zalaegerszeg;2003.01.26;13:41:06;8799 Pakod, Rákóczi Ferenc út 57.;1981.01.29;1970.05.17;kutya;patkány
Szép Eszter;13.C;rendszergazda;l;kopasz;9500;német;0;2,79;2;Körmend;2002.10.05;23:08:46;8999 Zalalövő, Margaréta u. 33.;1983.04.09;1978.12.28;;
Temlén Péter;13.C;rendszergazda;f;vörös;6000;történelem;0;2,5;0;Zalaegerszeg;2004.03.18;20:36:52;8913 Lakhegy, Petőfi S. utca 113.;1986.10.01;1955.08.19;vadászgörény;tyúk
Vaspöri Viktor;13.C;szoftverfejlesztő;f;vörös;8000;ének;0;4,78;1;Zalaegerszeg;2004.03.15;6:20:07;8900 Zalaegerszeg, Kosztolányi u. 9/D.;1967.10.11;1979.04.27;hörcsög;ló
Albert Annamária;9.A;számvitel-gazdálkodás;l;barna;8500;biológia;0;4,84;2;Zalaegerszeg;2007.06.26;21:28:17;8900 Zalaegerszeg, Besenyő út 49.;1981.04.30;1970.12.09;teknős;kutya
Benkő Kitti;9.A;pénzügy;l;barna;6000;biológia;0;4,97;1;Zalaegerszeg;2007.07.27;6:37:26;8900 Zalaegerszeg, Kinizsi u. 76/D. II/5.;1962.09.17;1979.12.05;vadászgörény;
Boa Veronika;9.A;rendszergazda;l;barna;7500;ének;0;2,23;1;Zalaegerszeg;2007.12.21;19:42:54;8992 Zalaboldogfa, Ady u.6.;1979.06.10;1970.04.13;ló;ló
Csalló Mercédesz;9.A;számvitel-gazdálkodás;l;barna;6500;földrajz;2;1;2;Győr;2008.07.26;16:29:50;8944 Sárhida, Béke U. 60.;1990.08.10;1980.06.13;patkány;hal
Cseresnyés Judit Zsófia;9.A;pénzügy;l;kopasz;6500;biológia;3;1;3;Zalaegerszeg;2007.06.03;16:57:26;8900 Zalaegerszeg, Köztársaság út 83 IV/19.;1988.11.14;1977.08.10;kígyó;hal
Csiszár Benjámin;9.A;szoftverfejlesztő;f;barna;7500;ének;0;3,51;2;Zalaegerszeg;2008.08.27;1:41:18;8900 Zalaegerszeg, Gorkij u. 23.;1964.01.11;1974.06.07;teknős;hal
Csóka Kitty;9.A;rendszergazda;l;kopasz;3500;biológia;0;3,21;1;Zalaegerszeg;2006.11.01;22:27:57;8900 Zalaegerszeg, Bíró Márton utca 93.;1980.03.14;1973.09.22;vadászgörény;kacsa
Csonka Leila Éva;9.A;pénzügy;l;vörös;9500;informatika;0;3,05;1;Zalaegerszeg;2007.08.28;18:00:18;8900 Zalaegerszeg, Hegyalja utca 11/B 3. em./12;1975.08.24;1964.04.25;ló;patkány
Dávid Veronika;9.A;számvitel-gazdálkodás;l;vörös;5500;ének;0;3,31;2;Zalaegerszeg;2006.11.15;14:45:36;8782 Zalacsány, Hegy utca 11.;1970.09.17;1965.02.27;tyúk;kígyó
Dukai László;9.A;rendszergazda;f;szőke;5000;fizika;0;3,53;1;Zalaegerszeg;2006.12.13;15:27:46;8900 Zalaegerszeg, Szabadság u. 51.;1987.01.23;1964.10.28;;
Ferencz Márk;9.A;pénzügy;f;kopasz;5500;informatika;0;4,72;0;Zalaegerszeg;2007.03.29;21:47:49;8900 Zalaegerszeg, Egry József utca 4. C lph. 1. em. 6. ;1977.11.28;1985.08.13;vadászgörény;hörcsög
Foki Dániel;9.A;rendszergazda;f;fekete;8500;ének;0;2,32;1;Zalaegerszeg;2008.03.18;0:23:44;8900 Zalaegerszeg, Ola u. 4-10 3/1;1971.06.11;1961.09.19;teknős;kutya
Horváth Attila;9.A;pénzügy;f;szőke;5000;földrajz;0;2,68;1;Zalaegerszeg;2007.03.01;6:20:41;8913 Egervár, Nádasdy utca 14.;1983.10.20;1977.05.09;kutya;teknős
Horváth Krisztián János;9.A;pénzügy;f;fekete;6500;matematika;0;2,53;2;Szombathely;2007.08.25;19:16:14;8790 Zalaszentgrót, Katalin ltp. 4/B. 4/13.;1990.10.05;1966.02.08;teknős;kígyó
Horváth Krisztina;9.A;rendszergazda;l;fekete;4000;német;0;3,71;0;Pécs;2006.12.08;9:35:28;8395 Felsőpáhok, Szent I. u. 49.;1982.07.20;1971.01.05;hal;
Imre Diána;9.A;szoftverfejlesztő;l;szőke;8000;informatika;3;1;3;Zalaegerszeg;2008.05.12;14:53:53;8900 Zalaegerszeg, Vorhota út 2.;1983.05.30;1990.01.01;teknős;tyúk
Jáger Barbara;9.A;számvitel-gazdálkodás;l;barna;3500;történelem;3;1;1;Zalaegerszeg;2007.02.23;22:45:46;8932 Pókaszepetk, Arany J. u. 14. ;1972.11.29;1980.10.22;;
Kocsi Bence;9.A;pénzügy;f;fekete;5500;angol;1;1;0;Keszthely;2007.07.23;1:48:24;8900 Zalaegerszeg, Göcseji út 23-25;1975.08.13;1973.05.25;tyúk;hörcsög
Koller Róbert;9.A;rendszergazda;f;fekete;4500;magyar;3;1;4;Nagykanizsa;2007.07.30;19:42:46;9812 Telekes, Fő u. 57.;1984.11.29;1980.07.28;macska;patkány
Kovács Dávid;9.A;szoftverfejlesztő;f;vörös;5000;angol;0;4,43;2;Zalaegerszeg;2007.10.25;13:20:30;8900 Zalaegerszeg, Kossuth u. 62/D. ;1967.11.07;1965.06.13;vadászgörény;ló
Ladányi Anna Éva;9.A;pénzügy;l;barna;8000;matematika;0;3,31;0;Zalaegerszeg;2007.07.03;18:45:34;8900 Zalaegerszeg, Öveges József u. 40/1;1963.10.11;1970.06.28;kacsa;vadászgörény
Lukács Máté;9.A;rendszergazda;f;fekete;5000;rajz;0;2,62;0;Nagykanizsa;2008.05.03;16:57:10;8911 Kiskutas, Fő u. 1/F.;1969.09.20;1974.01.02;macska;tyúk
